"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","Abs_log2foldchange","Significant","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSMUSG00000078901",68.0499241984134,23.6196429075747,3.67870623206391,6.42063851190505,1.35703929225471e-10,5.9287985146815e-09,8.22703330854336,23.6196429075747,"Both","2",175116918,175128598,1,"protein_coding","Gm14440","predicted gene 14440 [Source:MGI Symbol;Acc:MGI:3702430]"
"ENSMUSG00000069117",526.566029747112,12.8532657837421,1.02625160420065,12.5244781407709,5.48509383676742e-36,4.53397856547195e-33,32.3435205373456,12.8532657837421,"Both","13",97896580,97897140,-1,"protein_coding","Rps18-ps6","ribosomal protein S18, pseudogene 6 [Source:MGI Symbol;Acc:MGI:3642298]"
"ENSMUSG00000107383",272.245791106078,11.8250766133313,1.65431429842666,7.14802297518529,8.8036580227706e-13,5.56353495536864e-11,10.25464917896,11.8250766133313,"Both","7",116423745,116425086,-1,"processed_pseudogene","Gm4366","predicted gene 4366 [Source:MGI Symbol;Acc:MGI:3782551]"
"ENSMUSG00000113061",236.979117390935,11.7001483023084,1.03679641567251,11.2849042738244,1.55811108099445e-29,8.97902852476794e-27,26.046770648762,11.7001483023084,"Both","13",28441511,28442117,1,"protein_coding","Rps18-ps5","ribosomal protein S18, pseudogene 5 [Source:MGI Symbol;Acc:MGI:3649931]"
"ENSMUSG00000101939",112.379298859047,10.5173162309309,2.13530004333806,4.92545123283444,8.41659005381203e-07,1.53106367484178e-05,4.81500674721332,10.5173162309309,"Both","1",24651856,24652200,-1,"unprocessed_pseudogene","Gm28438","predicted gene 28438 [Source:MGI Symbol;Acc:MGI:5579144]"
"ENSMUSG00000048087",90.7601124532828,10.1193245794697,1.55698889594833,6.4992914244942,8.06992006840311e-11,3.68948889852987e-09,8.43303379208539,10.1193245794697,"Both","16",45973348,45975440,-1,"protein_coding","Ahcyl","adenosylhomocysteinase like [Source:MGI Symbol;Acc:MGI:3643647]"
"ENSMUSG00000079492",77.6670289185303,10.0610379922343,1.42616423137066,7.05461388732545,1.73080644915708e-12,1.04582208397167e-10,9.98054219168425,10.0610379922343,"Both","17",36366708,36369263,-1,"protein_coding","Gm11127","predicted gene 11127 [Source:MGI Symbol;Acc:MGI:3779381]"
"ENSMUSG00000107470",71.2772418581887,9.94673690906876,1.64393435178774,6.05056819832977,1.44335843877235e-09,5.16038099260045e-08,7.28731823308678,9.94673690906876,"Both","7",3230842,3231636,1,"processed_pseudogene","Gm3375","predicted gene 3375 [Source:MGI Symbol;Acc:MGI:3781553]"
"ENSMUSG00000091705",87.0245535725774,9.49326557860448,1.28366059917118,7.39546386695516,1.40915475320459e-13,1.03263060194939e-11,10.9860550088057,9.49326557860448,"Both","17",35561218,35565738,1,"protein_coding","H2-Q2","histocompatibility 2, Q region locus 2 [Source:MGI Symbol;Acc:MGI:95931]"
"ENSMUSG00000096403",47.955934935536,9.38586960682731,1.07076175058127,8.76560037910593,1.85783915422237e-18,3.09614888080687e-16,15.5091781640879,9.38586960682731,"Both","6",7982541,7983383,-1,"processed_pseudogene","Rnps1-ps","RNA binding protein with serine rich domain 1, pseudogene [Source:MGI Symbol;Acc:MGI:3708729]"
"ENSMUSG00000069996",38.1904023867724,9.05969246211849,1.07814292219464,8.40305332031193,4.35017046762663e-17,5.80168582925826e-15,14.2364457926505,9.05969246211849,"Both","15",68664169,68755425,1,"lncRNA","Gm41341","predicted gene, 41341 [Source:MGI Symbol;Acc:MGI:5624226]"
"ENSMUSG00000062353",446.6677890903,8.91073448213685,1.27831543504686,6.97068519853254,3.15401018572166e-12,1.81048945799828e-10,9.74220399962162,8.91073448213685,"Both","5",3286431,3286868,1,"processed_pseudogene","Gm15772","predicted gene 15772 [Source:MGI Symbol;Acc:MGI:3805541]"
"ENSMUSG00000036322",155.557631826064,8.85616110401862,0.924661857800132,9.57772944705252,9.92017430685936e-22,2.66234288378245e-19,18.5747360123681,8.85616110401862,"Both","17",34560926,34563618,-1,"protein_coding","H2-Ea","histocompatibility 2, class II antigen E alpha [Source:MGI Symbol;Acc:MGI:95900]"
"ENSMUSG00000097906",140.076254629191,8.77558102813258,1.14556415325403,7.66048850534044,1.85227168570598e-14,1.59488309937975e-12,11.7972711440519,8.77558102813258,"Both","13",67958365,67959319,1,"processed_pseudogene","Gm9625","predicted gene 9625 [Source:MGI Symbol;Acc:MGI:3780033]"
"ENSMUSG00000101236",81.0457625344123,-8.75616647871496,1.78175262926812,-4.91435586224541,8.90748287888262e-07,1.60622280708647e-05,4.79419421174938,8.75616647871496,"Both","12",116471236,116471503,-1,"processed_pseudogene","Gm6750","predicted gene 6750 [Source:MGI Symbol;Acc:MGI:3779628]"
